k_x,k_y,final_pos_x,final_pos_y,final_pos_z
-0.700, -0.000, -0.553, 0.005, 0.146
-0.600, -0.000, -0.467, -0.034, 0.154
-0.500, -0.000, -0.398, -0.046, 0.154
-0.400, -0.000, -0.336, -0.058, 0.150
-0.300, -0.000, -0.241, -0.059, 0.150
-0.200, -0.000, -0.178, -0.044, 0.147
-0.100, -0.000, -0.114, -0.044, 0.146
-0.000, -0.000, -0.064, -0.025, 0.143
0.100, -0.000, -0.029, -0.011, 0.141
0.200, -0.000, -0.008, -0.001, 0.147
0.300, -0.000, 0.024, -0.011, 0.168
0.400, -0.000, 0.166, -0.035, 0.188
0.500, -0.000, 0.330, -0.077, 0.216
0.600, -0.000, 0.555, -0.158, 0.221
0.700, -0.000, 0.740, -0.467, 0.180
-0.700, 0.100, -0.594, 0.084, 0.159
-0.600, 0.100, -0.550, 0.065, 0.135
-0.500, 0.100, -0.414, 0.070, 0.144
-0.400, 0.100, -0.369, 0.073, 0.142
-0.300, 0.100, -0.274, 0.069, 0.139
-0.200, 0.100, -0.182, 0.081, 0.145
-0.100, 0.100, -0.114, 0.107, 0.143
-0.000, 0.100, -0.066, 0.126, 0.142
0.100, 0.100, -0.020, 0.056, 0.150
0.200, 0.100, -0.014, 0.061, 0.150
0.300, 0.100, 0.011, 0.079, 0.154
0.400, 0.100, 0.183, 0.118, 0.182
0.500, 0.100, 0.371, 0.187, 0.215
0.600, 0.100, 0.534, -0.031, 0.212
0.700, 0.100, 0.754, -0.198, 0.209
-0.700, 0.200, -0.743, 0.136, 0.146
-0.600, 0.200, -0.592, 0.144, 0.129
-0.500, 0.200, -0.474, 0.175, 0.142
-0.400, 0.200, -0.369, 0.194, 0.143
-0.300, 0.200, -0.277, 0.208, 0.148
-0.200, 0.200, -0.185, 0.266, 0.152
-0.100, 0.200, -0.110, 0.301, 0.149
-0.000, 0.200, -0.057, 0.285, 0.147
0.100, 0.200, -0.007, 0.187, 0.154
0.200, 0.200, -0.005, 0.149, 0.154
0.300, 0.200, 0.055, 0.251, 0.162
0.400, 0.200, 0.276, 0.374, 0.187
0.500, 0.200, 0.506, 0.383, 0.205
0.600, 0.200, 0.710, 0.199, 0.211
0.700, 0.200, 0.761, -0.026, 0.208
-0.700, 0.300, -0.765, 0.226, 0.131
-0.600, 0.300, -0.655, 0.208, 0.130
-0.500, 0.300, -0.548, 0.295, 0.134
-0.400, 0.300, -0.424, 0.353, 0.140
-0.300, 0.300, -0.317, 0.430, 0.146
-0.200, 0.300, -0.247, 0.519, 0.151
-0.100, 0.300, -0.137, 0.569, 0.146
-0.000, 0.300, -0.049, 0.557, 0.143
0.100, 0.300, 0.018, 0.471, 0.147
0.200, 0.300, 0.076, 0.477, 0.143
0.300, 0.300, 0.187, 0.536, 0.148
0.400, 0.300, 0.272, 0.576, 0.182
0.500, 0.300, 0.677, 0.378, 0.192
0.600, 0.300, 0.598, 0.192, 0.188
0.700, 0.300, 0.634, 0.128, 0.197
-0.700, 0.400, -0.835, 0.257, 0.129
-0.600, 0.400, -0.737, 0.250, 0.130
-0.500, 0.400, -0.585, 0.431, 0.136
-0.400, 0.400, -0.498, 0.522, 0.147
-0.300, 0.400, -0.401, 0.644, 0.138
-0.200, 0.400, -0.262, 0.718, 0.139
-0.100, 0.400, -0.155, 0.724, 0.140
-0.000, 0.400, -0.063, 0.733, 0.142
0.100, 0.400, 0.031, 0.709, 0.145
0.200, 0.400, 0.157, 0.657, 0.146
0.300, 0.400, 0.391, 0.610, 0.152
0.400, 0.400, 0.508, 0.505, 0.163
0.500, 0.400, 0.614, 0.448, 0.153
0.600, 0.400, 0.752, 0.180, 0.157
0.700, 0.400, 0.756, 0.121, 0.178
-0.700, 0.500, -0.870, 0.427, 0.140
-0.600, 0.500, -0.767, 0.427, 0.143
-0.500, 0.500, -0.677, 0.541, 0.136
-0.400, 0.500, -0.571, 0.617, 0.141
-0.300, 0.500, -0.464, 0.655, 0.142
-0.200, 0.500, -0.305, 0.771, 0.145
-0.100, 0.500, -0.166, 0.838, 0.139
-0.000, 0.500, -0.071, 0.824, 0.146
0.100, 0.500, 0.063, 0.816, 0.141
0.200, 0.500, 0.194, 0.812, 0.137
0.300, 0.500, 0.470, 0.642, 0.151
0.400, 0.500, 0.614, 0.587, 0.165
0.500, 0.500, 0.785, 0.443, 0.147
0.600, 0.500, 0.840, 0.226, 0.146
0.700, 0.500, 0.569, -0.084, 0.087
-0.700, 0.600, -0.954, 0.430, 0.135
-0.600, 0.600, -0.791, 0.471, 0.141
-0.500, 0.600, -0.713, 0.562, 0.134
-0.400, 0.600, -0.584, 0.667, 0.139
-0.300, 0.600, -0.480, 0.754, 0.145
-0.200, 0.600, -0.350, 0.840, 0.146
-0.100, 0.600, -0.193, 0.890, 0.150
-0.000, 0.600, -0.022, 0.878, 0.148
0.100, 0.600, 0.129, 0.903, 0.150
0.200, 0.600, 0.268, 0.871, 0.125
0.300, 0.600, 0.524, 0.637, 0.140
0.400, 0.600, 0.686, 0.649, 0.137
0.500, 0.600, 0.689, 0.465, 0.147
0.600, 0.600, 0.635, 0.213, 0.170
0.700, 0.600, 0.706, 0.137, 0.164
-0.700, 0.700, -0.958, 0.487, 0.120
-0.600, 0.700, -0.830, 0.473, 0.126
-0.500, 0.700, -0.727, 0.649, 0.136
-0.400, 0.700, -0.624, 0.762, 0.137
-0.300, 0.700, -0.490, 0.801, 0.146
-0.200, 0.700, -0.318, 0.908, 0.129
-0.100, 0.700, -0.179, 0.937, 0.141
-0.000, 0.700, 0.028, 0.974, 0.134
0.100, 0.700, 0.238, 0.937, 0.135
0.200, 0.700, 0.480, 0.678, 0.140
0.300, 0.700, 0.631, 0.411, 0.096
0.400, 0.700, 0.556, 0.138, 0.161
0.500, 0.700, 0.585, 0.329, 0.164
0.600, 0.700, 0.515, -0.265, 0.137
0.700, 0.700, 0.582, 0.028, 0.130
