k_x,k_y,final_pos_x,final_pos_y,final_pos_z
0.500, -0.300, 0.806, -0.347, 0.095
0.600, -0.300, 1.078, -0.574, 0.096
0.700, -0.300, 1.494, -0.268, 0.095
-0.700, -0.200, -1.535, -0.301, 0.107
-0.600, -0.200, -1.075, -0.624, 0.111
-0.500, -0.200, -0.897, -0.405, 0.134
-0.400, -0.200, -0.453, -0.128, 0.141
-0.300, -0.200, -0.305, -0.106, 0.131
-0.200, -0.200, -0.150, -0.164, 0.127
-0.100, -0.200, -0.069, -0.150, 0.123
-0.000, -0.200, 0.020, -0.168, 0.114
0.100, -0.200, 0.091, -0.207, 0.096
0.200, -0.200, 0.204, -0.231, 0.095
0.300, -0.200, 0.350, -0.225, 0.097
0.400, -0.200, 0.537, -0.286, 0.088
0.500, -0.200, 0.836, -0.344, 0.096
0.600, -0.200, 1.055, -0.501, 0.090
0.700, -0.200, 1.372, -0.351, 0.097
-0.700, -0.100, -1.400, -0.179, 0.104
-0.600, -0.100, -1.104, -0.433, 0.126
-0.500, -0.100, -0.842, -0.223, 0.135
-0.400, -0.100, -0.495, -0.049, 0.136
-0.300, -0.100, -0.307, -0.054, 0.137
-0.200, -0.100, -0.219, -0.066, 0.128
-0.100, -0.100, -0.104, -0.069, 0.126
-0.000, -0.100, 0.014, -0.076, 0.123
0.100, -0.100, 0.130, -0.124, 0.110
0.200, -0.100, 0.239, -0.144, 0.101
0.300, -0.100, 0.360, -0.173, 0.105
0.400, -0.100, 0.536, -0.240, 0.118
0.500, -0.100, 0.841, -0.175, 0.132
0.600, -0.100, 1.116, -0.263, 0.116
0.700, -0.100, 1.321, -0.094, 0.118
-0.700, -0.000, -1.337, -0.228, 0.114
-0.600, -0.000, -1.160, -0.171, 0.126
-0.500, -0.000, -0.810, -0.043, 0.132
-0.400, -0.000, -0.522, 0.076, 0.130
-0.300, -0.000, -0.339, 0.064, 0.126
-0.200, -0.000, -0.230, 0.041, 0.122
-0.100, -0.000, -0.127, 0.037, 0.121
-0.000, -0.000, 0.009, 0.007, 0.113
0.100, -0.000, 0.128, -0.036, 0.121
0.200, -0.000, 0.218, -0.034, 0.122
0.300, -0.000, 0.333, -0.060, 0.127
0.400, -0.000, 0.485, -0.089, 0.129
0.500, -0.000, 0.789, -0.037, 0.135
0.600, -0.000, 1.117, 0.085, 0.134
0.700, -0.000, 1.370, -0.032, 0.122
-0.700, 0.100, -1.386, 0.046, 0.113
-0.600, 0.100, -1.093, 0.210, 0.114
-0.500, 0.100, -0.819, 0.073, 0.095
-0.400, 0.100, -0.554, 0.246, 0.113
-0.300, 0.100, -0.372, 0.171, 0.103
-0.200, 0.100, -0.245, 0.147, 0.100
-0.100, 0.100, -0.140, 0.135, 0.112
-0.000, 0.100, -0.012, 0.076, 0.123
0.100, 0.100, 0.108, 0.066, 0.124
0.200, 0.100, 0.229, 0.061, 0.126
0.300, 0.100, 0.317, 0.044, 0.134
0.400, 0.100, 0.466, 0.040, 0.136
0.500, 0.100, 0.797, 0.108, 0.141
0.600, 0.100, 1.102, 0.347, 0.127
0.700, 0.100, 1.419, 0.105, 0.092
-0.700, 0.200, -1.398, 0.256, 0.097
-0.600, 0.200, -1.057, 0.467, 0.087
-0.500, 0.200, -0.897, 0.331, 0.092
-0.400, 0.200, -0.552, 0.329, 0.085
-0.300, 0.200, -0.349, 0.232, 0.094
-0.200, 0.200, -0.201, 0.236, 0.090
-0.100, 0.200, -0.087, 0.197, 0.096
-0.000, 0.200, -0.023, 0.170, 0.112
0.100, 0.200, 0.094, 0.133, 0.121
0.200, 0.200, 0.204, 0.097, 0.121
0.300, 0.200, 0.319, 0.101, 0.128
0.400, 0.200, 0.435, 0.181, 0.141
0.500, 0.200, 0.751, 0.332, 0.146
0.600, 0.200, 1.093, 0.362, 0.129
0.700, 0.200, 1.501, 0.082, 0.087
-0.700, 0.300, -1.459, 0.224, 0.095
-0.600, 0.300, -1.093, 0.530, 0.090
-0.500, 0.300, -0.837, 0.411, 0.096
-0.400, 0.300, -0.480, 0.282, 0.084
-0.300, 0.300, -0.263, 0.291, 0.080
-0.200, 0.300, -0.149, 0.291, 0.075
-0.100, 0.300, -0.065, 0.297, 0.077
-0.000, 0.300, -0.061, 0.281, 0.105
0.100, 0.300, 0.033, 0.208, 0.116
0.200, 0.300, 0.161, 0.141, 0.115
0.300, 0.300, 0.316, 0.140, 0.116
0.400, 0.300, 0.453, 0.223, 0.131
0.500, 0.300, 0.736, 0.403, 0.151
0.600, 0.300, 1.217, 0.351, 0.130
0.700, 0.300, 1.363, 0.292, 0.137
-0.700, 0.400, -1.388, 0.309, 0.075
-0.600, 0.400, -1.132, 0.462, 0.082
-0.500, 0.400, -0.734, 0.401, 0.076
-0.400, 0.400, -0.397, 0.355, 0.072
-0.300, 0.400, -0.215, 0.332, 0.065
-0.200, 0.400, -0.178, 0.345, 0.065
-0.100, 0.400, -0.065, 0.405, 0.066
-0.000, 0.400, -0.111, 0.350, 0.113
0.100, 0.400, 0.008, 0.237, 0.106
0.200, 0.400, 0.157, 0.204, 0.112
0.300, 0.400, 0.256, 0.217, 0.132
0.400, 0.400, 0.486, 0.294, 0.135
0.500, 0.400, 0.805, 0.276, 0.144
0.600, 0.400, 1.062, 0.567, 0.125
0.700, 0.400, 1.158, 0.368, 0.118
-0.700, 0.500, -1.414, 0.272, 0.101
-0.600, 0.500, -1.151, 0.406, 0.063
-0.500, 0.500, -0.594, 0.376, 0.062
-0.400, 0.500, -0.420, 0.352, 0.065
-0.300, 0.500, -0.276, 0.394, 0.058
-0.200, 0.500, -0.100, 0.400, 0.062
-0.100, 0.500, -0.215, 0.508, 0.102
-0.000, 0.500, -0.148, 0.388, 0.100
0.100, 0.500, 0.018, 0.319, 0.107
0.200, 0.500, 0.133, 0.296, 0.120
0.300, 0.500, 0.277, 0.262, 0.133
0.400, 0.500, 0.506, 0.186, 0.141
0.500, 0.500, 0.774, 0.645, 0.126
0.600, 0.500, 1.132, 0.348, 0.112
0.700, 0.500, 0.938, 0.575, 0.060
-0.700, 0.600, -1.411, 0.294, 0.099
-0.600, 0.600, -1.200, 0.204, 0.087
-0.500, 0.600, -0.584, 0.444, 0.068
-0.400, 0.600, -0.438, 0.455, 0.061
-0.300, 0.600, -0.243, 0.454, 0.058
-0.200, 0.600, -0.149, 0.530, 0.063
-0.100, 0.600, -0.210, 0.599, 0.097
-0.000, 0.600, -0.083, 0.506, 0.109
0.100, 0.600, 0.040, 0.426, 0.113
0.200, 0.600, 0.175, 0.358, 0.122
0.300, 0.600, 0.269, 0.389, 0.127
0.400, 0.600, 0.532, 0.501, 0.149
0.500, 0.600, 0.638, 0.361, 0.151
0.600, 0.600, 0.836, 0.410, 0.061
0.700, 0.600, 0.961, 0.658, 0.065
-0.700, 0.700, -1.231, 0.407, 0.093
-0.600, 0.700, -0.743, 0.634, 0.063
-0.500, 0.700, -0.637, 0.591, 0.059
-0.400, 0.700, -0.375, 0.562, 0.054
-0.300, 0.700, -0.251, 0.624, 0.060
-0.200, 0.700, -0.272, 0.629, 0.057
-0.100, 0.700, -0.185, 0.674, 0.086
-0.000, 0.700, 0.014, 0.599, 0.113
0.100, 0.700, 0.130, 0.537, 0.127
0.200, 0.700, 0.261, 0.497, 0.137
0.300, 0.700, 0.329, 0.509, 0.145
0.400, 0.700, 0.421, 0.544, 0.148
0.500, 0.700, 0.642, 0.582, 0.148
0.600, 0.700, 0.872, 0.604, 0.124
0.700, 0.700, 0.692, 0.123, 0.053
